"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-1296-3p",14.4302347577598,10.978281982684,11.4257515898037,3.03457886250744e-24,4.47293416149941e-23,41.9509611906544
"hsa-miR-1286",12.76590834278,12.1231646450216,11.39504785219,3.8020052231327e-24,5.57190420631516e-23,41.7472880714152
"hsa-miR-1301-5p",13.5059400645524,12.7900080909091,11.3901162437714,3.94215003160672e-24,5.72313283660028e-23,41.7145850172522
"hsa-miR-8079",12.154958322762,11.7838235411255,11.3898423095158,3.95008384016333e-24,5.72313283660028e-23,41.7127685603816
"hsa-miR-141-5p",12.3590388785425,11.0622103419913,11.3811421337833,4.21051493468403e-24,6.0659960923414e-23,41.6550825489585
"hsa-miR-8062",11.7139805096716,10.9812785194805,11.3750778739528,4.40209782074636e-24,6.30637609151866e-23,41.6148793626299
"hsa-miR-3119",11.6284029260009,9.95671645887446,11.3740049869126,4.4368861507343e-24,6.32070373428629e-23,41.6077671017303
"hsa-miR-5693",12.4716709516419,9.92136857142857,11.3707262669499,4.54490605564081e-24,6.43861691215781e-23,41.5860330700624
"hsa-miR-4289",11.6503895224921,9.38202093073593,11.3691101179228,4.59911187806892e-24,6.47941176192031e-23,41.5753204072767
"hsa-miR-6826-5p",35.4452277345929,23.8745167012987,11.3657613262393,4.71349044979732e-24,6.57058225886236e-23,41.5531239375917
"hsa-miR-3928-3p",34.7464853839406,22.7321962467532,11.3657072926657,4.71535903283064e-24,6.57058225886236e-23,41.5527658035782
"hsa-miR-106a-3p",12.6748184496176,10.9177973722944,11.3617414349281,4.85454115902565e-24,6.7277608453888e-23,41.5264811308097
"hsa-miR-8061",12.7285842237967,10.5521931948052,11.3603641226948,4.90382997394561e-24,6.75933320733043e-23,41.5173531234395
"hsa-miR-513a-5p",17.4508096650922,13.1437661731602,11.3582667686378,4.97984620133617e-24,6.82720850183184e-23,41.5034535622503
"hsa-miR-4731-5p",22.4626686378767,17.0712342597403,11.3555730669963,5.07920181695536e-24,6.92618429584821e-23,41.4856027008809
"hsa-miR-3137",12.7892125416104,10.111660982684,11.3536496846218,5.15135145280488e-24,6.98720542800662e-23,41.4728572161532
"hsa-miR-4476",42.2577256668916,28.478954974026,11.3448873695378,5.49318784795061e-24,7.41144392183812e-23,41.4147987435853
"hsa-miR-4667-3p",17.3902593187134,12.9631266580087,11.3429824937574,5.57044247939017e-24,7.47612016970786e-23,41.4021784518327
"hsa-miR-4638-3p",11.1926611072874,10.9461746536797,11.3401004724455,5.68939007338629e-24,7.59578255870945e-23,41.3830851899328
"hsa-miR-3613-3p",11.4968673677463,9.33506099134199,11.3302671031227,6.11461740165027e-24,8.12097623656676e-23,41.3179474652648
"hsa-miR-378f",15.7006738067926,12.1595675324675,11.3288431594498,6.17876487780175e-24,8.16365307688833e-23,41.308516063086
"hsa-miR-92a-3p",21.2933210069726,9.58015254978355,11.310013208293,7.09287874880587e-24,9.32311381930669e-23,41.1838213464222
"hsa-miR-4487",16.9552684615385,12.21045004329,11.2979951056898,7.74555539445046e-24,1.01288032081275e-22,41.1042594355683
"hsa-miR-215-3p",11.9007688281601,10.2296611688312,11.291857385954,8.10163400834831e-24,1.05403911843307e-22,41.0636338517066
"hsa-miR-6770-5p",12.0690353279352,10.8213082337662,11.2817434265501,8.72433195787568e-24,1.12929170013112e-22,40.9967001642581
"hsa-miR-6718-5p",12.0285739080072,10.3874441645022,11.2806573094121,8.79397574440198e-24,1.13255748223359e-22,40.9895130837913
"hsa-miR-6850-3p",13.3575909044085,13.6908157835498,11.2761670828752,9.0878266117968e-24,1.1645204954815e-22,40.9598018778981
"hsa-miR-4736",25.8073728578497,21.0634926493506,11.2719376150983,9.3735566590495e-24,1.19512847402881e-22,40.9318184800057
"hsa-miR-548at-3p",12.0378455809717,9.63133196103896,11.2678785697714,9.65618902024251e-24,1.22503890555315e-22,40.9049648440765
"hsa-miR-7854-3p",18.0731308310841,14.0202413290043,11.2578944428687,1.03880512248602e-23,1.31136290214819e-22,40.8389215232825
"hsa-miR-615-3p",15.0203582188484,12.8529067012987,11.2541519514708,1.06764106058692e-23,1.34112547019539e-22,40.8141689463802
"hsa-miR-652-5p",20.4692577273954,18.7869570865801,11.2486126033182,1.11179237243739e-23,1.38974046554674e-22,40.7775354721206
"hsa-miR-1295a",12.2908741560954,10.4853738614719,11.2473064705215,1.12246525310588e-23,1.39623726605853e-22,40.7688981899224
"hsa-miR-3689d",14.6745925092218,11.2465962900433,11.2379731306728,1.20176188857533e-23,1.48761787178014e-22,40.7071846280514
"hsa-miR-4491",12.3102432145749,9.84323988311688,11.2325903854983,1.25000735498571e-23,1.53986413295341e-22,40.6715982964073
"hsa-miR-4776-5p",15.1595585168691,12.1200891255411,11.2318799799885,1.25651724864917e-23,1.5404418192574e-22,40.6669019610588
