"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-33a-3p",11.4678130609445,11.9755385670996,10.0848644528841,4.82056469650869e-20,1.29394105011549e-18,33.3298400051945
"hsa-miR-5091",10.538059125937,11.7092836060606,10.064231534549,5.57633524375561e-20,1.48121404912258e-18,33.1968768164989
"hsa-miR-29b-1-5p",11.5438941049475,10.9729166623377,10.0576205216657,5.84258498776598e-20,1.51591744791178e-18,33.1542934415515
"hsa-miR-1243",10.4558809978261,11.5062025281385,10.0574330387653,5.85031721164753e-20,1.51591744791178e-18,33.1530859503148
"hsa-miR-1273c",13.837746133958,15.4079713593074,10.05534605458,5.93707960298265e-20,1.51591744791178e-18,33.1396451595786
"hsa-miR-1182",13.6758928514243,13.6850521601732,10.0551624330608,5.94477430553641e-20,1.51591744791178e-18,33.1384626284059
"hsa-miR-4301",11.5884726994753,11.2389184848485,10.052824962921,6.04359783607362e-20,1.52585885960275e-18,33.1234098521052
"hsa-miR-3136-5p",10.0413504837331,12.2117946536797,10.0204278958805,7.59400907817529e-20,1.89850226954382e-18,32.9149029462113
"hsa-miR-548at-3p",10.3298278463268,10.4600236839827,10.0040980023948,8.51953103495641e-20,2.10920428535329e-18,32.8098914307319
"hsa-miR-8077",13.0897962765367,12.726069952381,9.96611068242128,1.1129623859893e-19,2.72889815795453e-18,32.5658377920135
"hsa-miR-3925-3p",9.82493501469265,11.7934578961039,9.95495304572876,1.20375849222651e-19,2.92341348112153e-18,32.4942156011996
"hsa-miR-4781-5p",11.5538960470765,11.651256995671,9.94518721561928,1.28925213276437e-19,3.10150277221617e-18,32.4315505573295
"hsa-miR-6815-3p",11.4697978164918,11.6027625974026,9.93934772736262,1.34323065001938e-19,3.20115715658824e-18,32.3940902063925
"hsa-miR-4491",10.6366493244378,10.6299250779221,9.90510358381456,1.70815941186207e-19,4.03315416689654e-18,32.1745694919542
"hsa-miR-3137",10.8484904234633,10.9700686709957,9.88640000784132,1.94750939285406e-19,4.5560999557595e-18,32.0547840074535
"hsa-miR-6718-5p",10.8810227913793,10.9430125930736,9.87447920024277,2.11717151116354e-19,4.90798850315185e-18,31.978480165757
"hsa-miR-4738-3p",15.4067366161919,13.7791787445887,9.86922118937455,2.19660239465026e-19,5.04624874446682e-18,31.9448346143305
"hsa-miR-8053",11.5385905305847,10.515462021645,9.82538130775737,2.98530309931114e-19,6.79689544932448e-18,31.6645571595446
"hsa-miR-3152-3p",10.0178691407046,10.2566749480519,9.80252642356973,3.5023279522084e-19,7.90348343197472e-18,31.5186196637035
"hsa-miR-5579-5p",10.2394778368816,10.3912502121212,9.79770147685463,3.62237370336201e-19,8.10267802067818e-18,31.4878262292273
"hsa-miR-6512-3p",11.8484614097451,11.3124491948052,9.77259803865045,4.31617176103218e-19,9.57064173098439e-18,31.3277020195942
"hsa-miR-3201",9.76816212826087,10.5594533939394,9.76174422947474,4.65564811167789e-19,1.02343988661885e-17,31.2585166944491
"hsa-miR-8485",16.7904214587706,15.7587814155844,9.75998387855116,4.71315521289577e-19,1.02722613614395e-17,31.2472983657156
"hsa-miR-1266-5p",10.959821618066,11.0765656709957,9.74868302063196,5.09952504002906e-19,1.10201600441306e-17,31.17529820206
"hsa-miR-422a",25.54827391994,33.2483985411255,9.74400641429439,5.26848182717432e-19,1.12896039153735e-17,31.1455115355894
"hsa-miR-6855-3p",11.3269451805847,11.7102638398268,9.74080738156337,5.38725066428555e-19,1.14479076616068e-17,31.1251390010769
"hsa-miR-1537-5p",10.1716800077211,10.5190207316017,9.73359448696604,5.66489660957883e-19,1.19384184747322e-17,31.0792138850529
"hsa-miR-1911-5p",9.77589983493253,9.18747602164502,9.73118956091652,5.76059570686033e-19,1.19747441534326e-17,31.063904310796
"hsa-miR-1305",10.2939503229385,12.576590978355,9.73080484589221,5.77605306224398e-19,1.19747441534326e-17,31.0614553743805
"hsa-miR-4464",9.75880228755622,10.9339617359307,9.71205680021705,6.58146476449815e-19,1.3534463830218e-17,30.9421565807985
"hsa-miR-548bb-3p",10.5650488275112,10.5875834935065,9.70843984966177,6.74923710968795e-19,1.37684437037634e-17,30.9191507966317
"hsa-miR-3928-3p",29.8296676698651,25.2170395108225,9.69632559056485,7.34273458214117e-19,1.48602961781428e-17,30.8421207311934
"hsa-miR-4460",11.2226616138681,9.26352007359307,9.69425346453621,7.44932485881858e-19,1.49357839226438e-17,30.8289484459228
"hsa-miR-6731-5p",21.5328429510495,16.717788038961,9.69241636398237,7.54511094166683e-19,1.49357839226438e-17,30.8172710719468
"hsa-miR-3126-5p",12.1331543202399,13.1360722510823,9.69221375684343,7.55574951380805e-19,1.49357839226438e-17,30.815983267459
"hsa-miR-18a-3p",10.9294630048726,13.7446927835498,9.67363274191712,8.59755282813248e-19,1.68644305474906e-17,30.6979221074886
"hsa-miR-4767",10.8110236636432,14.7871183333333,9.67147945415056,8.72716075715922e-19,1.69879846799664e-17,30.6842459121751
"hsa-miR-1295b-3p",10.5019598157421,10.2684927965368,9.66947169257785,8.849758319303e-19,1.70961240259262e-17,30.6714950289318
"hsa-miR-504-3p",30.0596363855322,22.0685406190476,9.6576414036344,9.60769286347032e-19,1.84207645126687e-17,30.5963835056538
"hsa-miR-550a-5p",23.073694372114,23.6426210822511,9.6431421619187,1.06251249326003e-18,2.02194541627842e-17,30.504373870886
"hsa-miR-6501-5p",11.7365336085457,16.255752965368,9.63743011942574,1.1054738035105e-18,2.08811718440873e-17,30.4681406070483
"hsa-miR-5698",34.7938762501499,34.2945765281385,9.62697499671595,1.18862924383376e-18,2.22867983218831e-17,30.4018415893589
"hsa-miR-3689d",12.5856127914543,12.2621231731602,9.61390070618591,1.30141426844646e-18,2.42234042667043e-17,30.3189721393406
"hsa-miR-32-3p",9.62325320314843,12.8939275887446,9.61113096909738,1.32663965027924e-18,2.45139935377686e-17,30.3014220766759
"hsa-miR-4754",10.6658960068216,11.1570745670996,9.57365993053349,1.71969419027824e-18,3.13555591331193e-17,30.0641821305117
"hsa-miR-3194-5p",16.4727751071214,19.4007374848485,9.57350979705361,1.72148167789674e-18,3.13555591331193e-17,30.063232307609
"hsa-miR-1200",11.2227352247376,14.2009251774892,9.56712476486214,1.79923545073283e-18,3.25393645345299e-17,30.0228425645493
"hsa-miR-1193",18.7634372734633,18.2095924155844,9.55873070423927,1.90678743023884e-18,3.42416052613312e-17,29.9697601373075
"hsa-miR-342-5p",12.0773556287856,14.8250793376623,9.55233084970541,1.99305922358294e-18,3.55405665743812e-17,29.9293007784892
"hsa-miR-8052",19.5182152746627,15.954112995671,9.54797808014639,2.0539410410496e-18,3.63718726019201e-17,29.9017889134719
"hsa-miR-4776-5p",12.9216761452774,13.2546142164502,9.53144190118753,2.3025552352121e-18,4.04932127571783e-17,29.7973156189293
"hsa-miR-3122",16.4118773874063,18.5350562987013,9.51890122938519,2.51083769612404e-18,4.38536720898377e-17,29.7181323411757
"hsa-miR-215-3p",9.98273227323838,11.2103540865801,9.51781943230205,2.52965859429018e-18,4.38818327580949e-17,29.7113036505536
"hsa-miR-6880-5p",55.0418213514243,40.2376770519481,9.5069766126738,2.72621864997951e-18,4.69720105232956e-17,29.64287663227
"hsa-miR-4736",21.9899909102699,23.0274432467532,9.50500699741632,2.76351920677214e-18,4.72951273642213e-17,29.6304500290145
"hsa-miR-5579-3p",10.3522294426537,10.8122067965368,9.50385154403042,2.78563672497846e-18,4.73558243246339e-17,29.6231605661577
"hsa-miR-598-5p",11.8110197164168,11.6773947316017,9.50174894093822,2.82633665732745e-18,4.7729526332351e-17,29.6098966656623
"hsa-miR-5585-3p",16.724721685907,13.511693974026,9.498407329101,2.8922390715864e-18,4.85211160035876e-17,29.5888190624449
"hsa-miR-4749-3p",12.4499843002999,19.2084913333333,9.49410848436825,2.9792700165265e-18,4.96545002754416e-17,29.5617078765419
"hsa-miR-106b-3p",10.0401123422039,10.7604753203463,9.49283611922887,3.00552484732775e-18,4.97668075369205e-17,29.5536844747722
"hsa-miR-4289",9.66462804355322,10.3046830779221,9.4876152162481,3.1156851484636e-18,5.12580459908528e-17,29.5207664262412
"hsa-miR-1231",41.4873491909295,36.1671159047619,9.47148756878141,3.48195227221383e-18,5.69165275265722e-17,29.4191258216181
"hsa-miR-1291",9.90597877661169,12.8508578138528,9.46412035344159,3.66320397272851e-18,5.93479243525791e-17,29.3727184149221
"hsa-miR-551a",11.3618138458021,13.1445934805195,9.46356488426477,3.67724394027745e-18,5.93479243525791e-17,29.3692199935337
