"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-1302",13.8917020521739,9.32225135652174,12.2933247578377,5.17275782248244e-27,8.04300758983551e-26,47.6808217706868
"hsa-miR-4423-5p",13.8359510347826,8.02245949130435,12.2866723866312,5.4357982997969e-27,8.40077919059522e-26,47.6362315401369
"hsa-miR-513a-5p",18.7249454782609,12.5938351217391,12.2787515330771,5.76645734330851e-27,8.85811218399802e-26,47.5831427924562
"hsa-miR-6771-3p",13.7181717130435,10.7868607434783,12.2608959382694,6.58732788892456e-27,1.00584946806932e-25,47.4634835072294
"hsa-miR-4301",13.5047591913044,10.3189072304348,12.2584506644891,6.70847154276096e-27,1.01553657537472e-25,47.4470982514253
"hsa-miR-218-2-3p",12.3368187913043,10.7103328913043,12.258012378203,6.7304188720913e-27,1.01553657537472e-25,47.444161433665
"hsa-miR-374a-3p",12.726931373913,10.2818765478261,12.2443810235566,7.44997757491547e-27,1.11749663623732e-25,47.352828859082
"hsa-miR-181a-2-3p",14.256863426087,9.70573853043478,12.2358740997937,7.93742470357288e-27,1.18365105228718e-25,47.2958376471364
"hsa-miR-4436b-5p",25.9922336695652,17.4890028434783,12.2316094671054,8.19363609411643e-27,1.21475418837191e-25,47.2672691648673
"hsa-miR-6799-3p",15.4939943826087,11.4848788956522,12.2298272628723,8.30313740920636e-27,1.22387285511423e-25,47.255330690278
"hsa-miR-3159",13.7302203913043,9.43164016956522,12.2217645863087,8.81705328246622e-27,1.29215436036143e-25,47.2013240133454
"hsa-miR-7-2-3p",15.6459204956522,11.3845089782609,12.185635303255,1.15385936581575e-26,1.6813379330458e-25,46.9593757988798
"hsa-miR-3137",13.6723281913043,9.6538066,12.1745308980974,1.25327596482404e-26,1.8158259717621e-25,46.8850320559398
"hsa-let-7b-5p",13.6143343217391,10.2120987434783,12.169794954468,1.29823450838455e-26,1.87033785106249e-25,46.8533278459896
"hsa-miR-508-5p",15.3920247565217,13.7891293086957,12.165346253359,1.34193083236824e-26,1.91611517897083e-25,46.8235480937788
